id,trigger,conditions,script,text,options,notes
abyssalLightBegin,OpenInteractionDialog,$customType == abyssal_light score:1000,"ShowDefaultVisual
FireAll AbyssalLightOptions
$player.sawAbyssalLight = true","A cold light fills the viewscreen, stark against the utter darkness of the hyperspace abyss. It seems to pulse, shifting dimmer and then brighter, following no discernable pattern. It does not flicker like a flame, nor like a failing comms signal, but like... something at the edge of your consciousness. It is...

You find you are able to anticipate the rhythm, more seen than heard, the dancing light filling your vision...

A polite cough from your sensors officer brings you back to the present. ""$PlayerSirOrMadam?""",,
abyssalLightBeginAgain,OpenInteractionDialog,"$customType == abyssal_light score:1000
$player.sawAbyssalLight","ShowDefaultVisual
AddTextSmall ""    - Use an Active Sensor Burst to increase sensor range\n    - Use an Interdiction Pulse to increase burn level\n    - Lasts for a certain number of light-years traveled\n    - Larger increase when used near the Abyssal Light"" highlight
FireAll AbyssalLightOptions","The cold light fills the viewscreen, stark against the abyss. The subtle pulse of the light begs for attention, but gives no promise of comfort.

You give your head half a shake, centering your attention on your bridge officers to give your next order.",,
abyssalLight_whatOpt,AbyssalLightOptions,!$player.gotFirstAbyssalLightInfodump,,,"abyssalLight_what:""Sensors, what are we looking at?""",
abyssalLight_opsOpt,AbyssalLightOptions,"!$player.askedOpsChiefAboutAbyssalLight
$player.gotFirstAbyssalLightInfodump",,,"abyssalLight_askOps:""Ops. Is there a problem?""",
AbyssalLightLeave,AbyssalLightOptions,,,,defaultLeave:Partir,
abyssalLight_whatSel,DialogOptionSelected,$option == abyssalLight_what,,"""It's an abyssal light, $playerSirOrMadam.""

Your sensors officer quickly realizes that this statement is as obvious as it is unilluminating.

""And. We don't know exactly what it... is. There's fragmentary pre-Collapse data. Some academicians speculate that it might be a spontaneous buildup of dark energy, maybe, around a temporary hyperspace quasistructure, a sort of knot in higher dimensions that alters the physical effects of... whatever it is.""

You catch your ops chief making the spacer hand-sign for 'all seals confirmed safe', a sort of ward against evil.",abyssalLight_what2:Continuer,
abyssalLight_whatSel2,DialogOptionSelected,$option == abyssalLight_what2,"AddTextSmall ""    - Use an Active Sensor Burst to increase sensor range\n    - Use an Interdiction Pulse to increase burn level\n    - Lasts for a certain number of light-years traveled\n    - Larger increase when used near the Abyssal Light"" highlight
$player.gotFirstAbyssalLightInfodump = true
FireAll AbyssalLightOptions","""They're not known, um, to be dangerous,"" your sensors officer continues, tapping at the console. ""The drive field should keep us safe.""

""It does appear to be highly unstable. They always are, and they're difficult to properly scan. I think if we tried an active scan or fired off an interdiction pulse it would collapse; the resulting discharge might allow us to chart local hyperspace topography.""",,
abyssalLightAskOps,DialogOptionSelected,$option == abyssalLight_askOps,$player.askedOpsChiefAboutAbyssalLight = true,"Your ops chief, normally unflappable, almost flinches.

""$PlayerSirOrMadam. No, $playerSirOrMadam.""

You let the silence linger, letting ops know that denial is not enough of an answer.

""Captain."" Ops looks at you directly. ""It's said to be... bad luck to meddle with things this deep in hyperspace."" Ops stands up straighter, ""I've no technical opinion; I raise the point only as a matter of crew morale. Mere dockside superstition, I'm sure.""","abyssalLight_askOpsOutA:""Understood, I'll be mindful. Thank you chief.""
abyssalLight_askOpsOutB:""Such superstition has no place on my bridge, is that understood?""",
abyssalLightAskOpsOutA,DialogOptionSelected,$option == abyssalLight_askOpsOutA,"$player.ethosHumanitarian++
FireAll AbyssalLightOptions","""$PlayerSirOrMadam,"" your ops chief says, then turns back to the main display, determined to make nothing more of it.",,
abyssalLightAskOpsOutB,DialogOptionSelected,$option == abyssalLight_askOpsOutB,"$player.ethosKnowledge++
FireAll AbyssalLightOptions","""Understood, $playerSirOrMadam."" Your ops chief turns back to the main display, determined to make nothing more of it.",,
,,,,,,
# Abyssal Light - Shrouded Dweller,,,,,,
abyssalLightDwellerBegin,OpenInteractionDialog,"$customType == abyssal_light score:1000
$tag:dweller_light score:1000",ShowImageVisual abyssal_light2,"Cold light fills the primary display, stark against the abyss. The subtle pulse begs for your attention yet offers no promise of comfort.

After a moment you consciously pull your eyes from the pitiless sight, centering your attention on your bridge officers to give your next order.",abyssalLight_dwellerCont:Continuer,
abyssalLightDwellerNonLight,DwellerAttackAfterAbilityUse,"$customType == abyssal_light score:1000
$tag:dweller_light score:1000",ShowImageVisual abyssal_light2,"Cold light begins to grow in the primary display. A subtle pulse begs for your attention.

""Captain, I-"" It's your navigation officer, who glances at sensors and receives a nod. ""The light is moving. Coming closer.""

You consciously pull your eyes from that comfortless light - diminished but not bereft of its call through even the meager medium of the primary display.

It's come to you.",abyssalLight_dwellerCont:Continuer,
abyssalLight_dwellerContSel,DialogOptionSelected,$option == abyssalLight_dwellerCont,,"""$PlayerSirOrMadam!"" Your sensors officer's voice is strained. ""Picking up - from the light - they came from out of nowhere!"" 

Navigation interrupts, ""$ShipOrFleet drive bubble in the red, instability increasing... holding... alert to multiple penetrations. N-space fissures detected inside the volume.""

A pause as the bridge crew takes in the eruption of alerts on their displays. Tactical takes initiative and activates the combat alarm to send all crew to battle stations. Frantic activity from all posts, chatter between the stations coordinating response.

Sensors calls over the low din: ""It's homing in on our active sensor emissions.""","abyssalLight_maxSensors:Order a sensor sweep, full power, focused on the anomalous drive-bubble penetrations
abyssalLight_wait:Attendre
abyssalLight_emCon:""Go to maximum emission control! EMCON zero-zero alpha, immediate execute.""",
abyssalLight_maxSensorsSel,DialogOptionSelected,$option == abyssalLight_maxSensors,DwellerCMD largeFleet,"""Aye $playerSirOrMadam! Executing."" Sensors barks, then deftly executes a series of overrides. 

Your $shipOrFleet status is up on the central display - shield bubble an unsteady amber, incursions of N-space fissures marked in garish red. A blink of white as active sensors trigger and-

-pressure on the drive bubble spikes, an amber flash, a cacophony of alarms...

* * *

A hidden blackness waiting, lurking, jolts awake. Tendrils lunge eagerly, hungrily, through fissures in the dark behind the night.",,
abyssalLight_emConSel,DialogOptionSelected,$option == abyssalLight_emCon,DwellerCMD smallFleet,"At your command, the unperceived chorus of a multitude of ship systems and machinery dies down with a deepening sigh into muted quietude.

All that remains is the breath and bodies of your bridge crew, a strange assertion of your shared humanity. 

Backup e-lighting, simple chemical things, provide an eerie glow. A series of dimly pulsing commands illuminate your executive interface - a flock of ardent subsystems ready to awaken from minimum operation at your touch.

* * *

A hidden blackness feels the brush of a shadow. Less than a morsel, unworthy of wakefulness. By some analog of distributed instinct a few listless tendrils explore this disturbance, this ripple in the darkness behind the night.",,
abyssalLight_dwellerWaitSel,DialogOptionSelected,$option == abyssalLight_wait,DwellerCMD mediumFleet,"You wait.

Alarms are reset, battle restraints engaged. Activity on the bridge gradually quiets as all officers, crew, and systems reach a state of readiness, even anticipation - fight or flight.

The incursions crawl closer to the center of your display volume, expanding unwaveringly and intentionally. 

All eyes are on command interfaces, and all attention is on your next order.",,
,,,,,,
# Shrouded Substrate - analyzing / making weapons,,,,,,
shroudedSubstrateBegin,ShroudedSubstrateRightClick,!$player.canMakeDwellerWeapons,"ShowImageVisual shrouded_weapon_assembly
SetStoryOption shroudedSubstrateBegin 1 analyzeSubstrate technology ""Analyzed Shrouded Substrate""","You join your technology officer and engineering chief in a small briefing room overlooking the shop bay dedicated to what has been euphemistically dubbed ""special salvage"".

Haz-suited technicians attend to the containment machinery, stepping over coils of tube and wire. A mess of makeshift components were pulled from the common microforge libraries then torn apart and re-engineered to operate in this unusual, even extraordinary, application.

Engineering wears a frown, tapping a TriPad as they observe the ongoing work. Tech can barely contain their excitement. 

""$PlayerSirOrMadam,"" they say in unison at your arrival.","shroudedSubstrateBegin:""So. What is it?""
defaultLeave:Partir","# The idea that the PC would call a meeting, show up, and then leave without a word is legitimately funny to me. -dgb"
shroudedSubstrateBegin2,DialogOptionSelected,$option == shroudedSubstrateBegin,FireAll shroudedSubstrateBeginOpts,"""Exotic matter!"" Tech exclaims.

Engineering interrupts. ""Another way of saying 'we don't know what it is', and 'it doesn't act how physics says it should'."" 

Your technology officer begins again, enthusiasm tempered - somewhat. ""Obviously, I was about to- $playerSirOrMadam,"" Tech turns to face only you, perhaps to curb further interruptions. ""Analysis is preliminary and proceeding,"" a quick glimpse at the frowning engineering chief, ""carefully.""",,
shroudedSubstrateOptA,shroudedSubstrateBeginOpts,!$saidWhatIsIt,,,"shroudedSubstrate_optSelA:""So... what is it?""",
shroudedSubstrateOptGA,shroudedSubstrateBeginOpts,$canSayGA,,,"shroudedSubstrate_optSelAga2:""The Galatia Academy would be interested, I think.""",
shroudedSubstrateOptB,shroudedSubstrateBeginOpts,!$saidValuable,,,"shroudedSubstrate_optSelB:""Is it valuable?""",
shroudedSubstrateOptC,shroudedSubstrateBeginOpts,!$saidUseful,,,"shroudedSubstrate_optSelC:""Is it useful?""",
shroudedSubstrateOptD,shroudedSubstrateBeginOpts,!$saidDestroyed,,,"shroudedSubstrate_optSelD:""Can it be destroyed?""",
shroudedSubstrateOptE,shroudedSubstrateBeginOpts,!$saidWeaponized,,,"shroudedSubstrate_optSelE:""Can it be weaponized?""",
shroudedSubstrateOptF,shroudedSubstrateBeginOpts,$saidWeaponized,,,"shroudedSubstrate_optSelF:""Show me what you can do.""",
shroudedSubstrateOptSelA,DialogOptionSelected,$option == shroudedSubstrate_optSelA,"$saidWhatIsIt = true 0
$canSayGA = true 0","Your engineering chief makes a show of looking to Tech expectantly, mouth quite intentionally shut. It appears they've had this argument already.

""As, um."" Tech passes a look of consternation back toward your chief engineer.

""In truth, I could not say, exactly. And unfortunately we're not equipped to perform a full scientific investigation. Clearly it is a part of, or a product of the, the... hostile force which we bested. But to know what it IS... you'd need a full science team and laboratory facilities to even begin to approach the right questions, to say nothing of answers...""","shroudedSubstrate_optSelAga:""Like the Galatia Academy.""
shroudedSubstrate_optSelAtt:""Like Tri-Tachyon.""",
shroudedSubstrateOptSelAga,DialogOptionSelected,$option == shroudedSubstrate_optSelAga,,"""Yes, exactly."" Tech nods. ""Although...""","shroudedSubstrate_optSelAga2:""Although?""",
shroudedSubstrateOptSelAga2,DialogOptionSelected,$option == shroudedSubstrate_optSelAga2,unset $canSayGA,"Your engineering chief answers. ""Yes, there's nothing like this in the public archives. The Galatia Academy is supposed to be neutral. But as you know, $playerSirOrMadam, the Hegemony will reach in to put its hands on the controls, so to speak, if it sees something it doesn't like. The Hegemony doesn't like disruption. And this...""

A hand is extended to indicate the contents of the workbay.

Tech nods agreement, ""The Ministry of Technology Standards would surely seize such specimens. I could not say what they would do with them, but we would not see them ever again. That much is certain.""","shroudedSubstrate_optSelAtt:""Tri-Tachyon then.""",
shroudedSubstrateOptSelAga2b,DialogOptionSelected,"$option == shroudedSubstrate_optSelAga2
$saidTTthen","unset $canSayGA
FireAll shroudedSubstrateBeginOpts","Your engineering chief answers. ""Yes, there's nothing like this in the public archives. The Galatia Academy is supposed to be neutral. But as you know, $playerSirOrMadam, the Hegemony will reach in to put its hands on the controls, so to speak, if it sees something it doesn't like. The Hegemony doesn't like disruption. And this...""

A hand is extended to indicate the contents of the workbay.

Tech nods agreement, ""The Ministry of Technology Standards would surely seize such specimens. I could not say what they would do with them, but we would not see them ever again. That much is certain.""",,
shroudedSubstrateOptSelAtt,DialogOptionSelected,$option == shroudedSubstrate_optSelAtt,$saidTTthen = true 0,"Tech nods, ""Yes, their facilities would be more than able to perform this research. And,"" a smile, ""they are likely to pay very well, if what they say is true.""","shroudedSubstrate_optSelAttA:""What exactly do 'they' say?""
shroudedSubstrate_optSelAttB:""Who is this 'they'?""",
shroudedSubstrateOptSelAttA,DialogOptionSelected,$option == shroudedSubstrate_optSelAttA,FireAll shroudedSubstrateBeginOpts,"""The Company pays very well indeed for unique specimens,"" Tech explains. ""Artifacts; Domain tech, xenobiology. Anything unknown to the present Persean Sector, anything strange which might demonstrate uncommon principles or serve an unexpected use.""",,
shroudedSubstrateOptSelAttB,DialogOptionSelected,$option == shroudedSubstrate_optSelAttB,FireAll shroudedSubstrateBeginOpts,"""Independent salvors, scavengers, fringe surveyors,"" Tech explains.

""Those sorts of people who might find artifacts, specimens; Domain tech, xenobiology. Anything unknown to the present Persean Sector, anything strange which might demonstrate uncommon principles or serve unexpected use. Tri-Tachyon makes it known that great rewards will be paid if they are brought 'examples of special interest'.""",,
shroudedSubstrateOptSelB,DialogOptionSelected,$option == shroudedSubstrate_optSelB,"$saidValuable = true 0
FireAll shroudedSubstrateBeginOpts","""Extremely,"" Tech answers, exchanging a look with your chief engineer. ""If the energy output ratio scales as projected...""

""It's dangerous,"" Engineering says. ""It's almost too easy to build a weapon with this 'substrate'. Imagine if the Pathers-""

""-Yes, yes, another Mairaath,"" Tech interrupts. ""As with any applied technology, sufficiently powerful, it could... $playerSirOrMadam. To answer your query, yes, extremely valuable.""",,
shroudedSubstrateOptSelC,DialogOptionSelected,$option == shroudedSubstrate_optSelC,"$saidUseful = true 0
FireAll shroudedSubstrateBeginOpts","""Very,"" your technology officer exchanges another look with Engineering. ""In my professional opinion.""

""When stabilized, and... provoked, it appears to create energy from... somewhere else. Or transform it, enhance it. The gain is spectacular.""

Your chief engineer steps forward. ""That test with the laser-cutter would have blown a hole through the hull if,"" a glance at Tech, ""if we were not following protocol by using a blast-plate backing in the test zone.""

""Look, I did concede you were correct to-"" Tech catches your expression and shuts up, putting on a deferential look.",,
shroudedSubstrateOptSelD,DialogOptionSelected,$option == shroudedSubstrate_optSelD,"$saidDestroyed = true 0
FireAll shroudedSubstrateBeginOpts","Engineering smirks at Tech.

""It is essentially unstable, if left alone,"" Tech admits. ""Without containment, it will,"" a pause, searching for the word. 

""Fade away? No, withdraw. Slowly. The process is non-linear, and appears to accelerate, given time. Although it's hard to measure exact terms of mass, volume, or... output. It all just becomes... less.""",,
shroudedSubstrateOptSelE,DialogOptionSelected,$option == shroudedSubstrate_optSelE,,"Tech looks to Engineering, who can barely suppress a grin despite a previous air of skepticism. Your chief engineer nods, and flips a TriPad around.

""It's pretty simple, $playerSirOrMadam. Scale up the testing rig using modified common equipment to produce outputs in the combat application range. A robust chassis is not difficult. We're already equipped to repair modular components of most weapon systems using microforged components and existing supply stocks."" 

They pause, looking into the workbay once more. ""The key is this 'substrate'. It provides the core, the... amplification, the transformation.""",shroudedSubstrate_optSelE2:Continuer,
shroudedSubstrateOptSelE2,DialogOptionSelected,$option == shroudedSubstrate_optSelE2,"$saidWeaponized = true 0
FireAll shroudedSubstrateBeginOpts","Tech speaks up, ""Using sensor data recorded during our encounter with the, um, hostile entities, we believe it is possible to reliably reproduce certain effects which have been observed.""

The schematics scrolling before you are complex, but you recognize the conduits and capacitors common to energy weapon mounts. And something strange at the center of each design, some beating heart which does not belong within these human creations.

You trust your officers enough not to ask if the projected power outputs are an error - you've already seen what these things are capable of.",,
shroudedSubstrateOptSelF,DialogOptionSelected,$option == shroudedSubstrate_optSelF,"$player.canMakeDwellerWeapons = true
Highlight $player.shroudedSubstrateAvailable
FireBest CheckPlayerHasNoSubstrate","""$PlayerSirOrMadam,"" they say once more in unison.

Shrouded Substrate available: $player.shroudedSubstrateAvailable unit(s).","substrate_selectWeapons:Select weapons to assemble
defaultLeave:Partir",
,,,,,,
